Lemma,Sense,Word Class,Year,Quotation,Source,Note
愛臘人,,,,,,
路細也納,Louisiana,/,1897,,『湘學新報』12「交涉續前稿」,
買爾答人,,,,,,
牛奧領士,New Orleans,/,1897,,『湘學新報』12「交涉續前稿」,
英吉利,/,/,c1751,所至有賀蘭英吉利瑞國璉國皆紅毛也,印–張『澳門記略』48,from 𠸄咭唎 (1716)
