Lemma,Sense,Word Class,Year,Quotation,Source,Note
阿比西尼,/,proper noun,1857,,『六合叢談』,
阿非利加,/,proper noun,1848,,徐繼畬『瀛環志略』,
阿非利加州,/,proper noun,1855,阿非利加州,B. Hobson『博物新編』,
阿弗利加,/,proper noun,1857,,『六合叢談』,
埃及,/,proper noun,1607,非洲東北部的一個國家,『幾何原本』,
本能,/,noun,1636,各独難普本能、彼此互合、乃易顕舌,陽瑪諾『聖經直解』,Schmidt
冰山,/,noun,1602,?,Ricci in『坤輿萬國全圖』,趙明 (2016)
