Lemma,Sense,Word Class,Year,Quotation,Source,Note
奶糖,/,noun,1886,,洪士提反譯『萬國藥方』卷一,
難產,/,noun,1822, 翻譯字典 馬禮遜 英華字典
腦海,/,noun,1913, 翻譯字典 Mateer Ada Haven Hand Book of New Terms and Newspaper Chinese
腦子,/,noun,unknown, 中國資料 魯迅(1881-1936)《書信集‧致孟十還》, publish date absent in Schmidt
