Lemma,Sense,Word Class,Year,Quotation,Source,Note
本能,/,noun,1636,各独難普本能、彼此互合、乃易顕舌,陽瑪諾『聖經直解』,Schmidt
槍彈,/,noun,1857,,『六合叢談』,Schmidt
槍械,/,noun,1857,,『六合叢談』,Schmidt; 兵械 passim
