Lemma,Sense,Word Class,Year,Quotation,Source,Note
癌腫細胞,,,,,,
安全瓣,,,,,,
安全燐寸,,,,,,
暗射地図,,,,,,
暗射図,,,,,,
暗体,,,,,,
暗体,,,,,,
凹凸畫,,,,,,
奥陶紀,,,,,,
八百屋,,,,,,
八進法,,,,,,
八里半,,,,,,
八時間勞動制,,,,,,
八時間制,,,,,,
巴嘎亚路,,,,,,
芭蕉布,,,,,,
隊舞,,,,,,
拔齒,,,,,,
白璧,,,,,,
白熱燈,,,,,,
白熱電燈,,,,,,
白熱電球,,,,,,
白堊系,,,,,,
白化,,,,,,
白練瓦,,,,,,
白目,,,,,,
白兵戦,,,,,,
白珊湖,,,,,,
白石英,,,,,,
白銑,,,,,,
白綫,,,,,,
白癣,,,,,,
白雲頭,,,,,,
白禿瘡,,,,,,
白夜,,,,,,
白銀時代,,,,,,
白洲,,,,,,
白烛光,,,,,,
百分算,,,,,,
百貨店,,,,,,
百年戦争,,,,,,
拜金主義,,,,,,
拜物教,,,,,,
班員,,,,,,
縞馬,,,,,,
斑岩,,,,,,
斑状,,,,,,
板金,,,,,,
半翅類,,,,,,
半灌木,,,,,,
半規管,,,,,,
半襟,,,,,,
半盲,,,,,,
半身像,,,,,,
半透明,,,,,,
半月辨,,,,,,
半紙,,,,,,
半濁音,,,,,,
